Project	Title	Abstract	Sequence Runs
SRP080027	Marine microbial communities from the Deep Pacific Ocean - MP2053 metagenome	 	SRR3961906
SRP093077	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC032_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5007150
SRP107295	hot springs metagenome Raw sequence reads	Metagenome of hot "Sun spring"	SRR5574655
SRP109834	Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C29_HAv2 metagenome	Raman-based microcolony genomics for studying microevolution and ecology of nitrifiers	SRR5720473
SRP109964	Active sludge microbial communities from wastewater in Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C11_HNv2 metagenome	Raman-based microcolony genomics for studying microevolution and ecology of nitrifiers	SRR5723897
SRP029217	Fig and fig wasp mutualism	In this study, we sequenced the mRNA of F. obtusifolia flowers and all other eukaryotic organisms present within the flower tissue, creating a metatranscriptome of the fig and fig wasp mutualism. We compared metatranscriptomes of seed and gall flowers in figs harvested before and after entrance by fig wasps to determine (1) biochemical and metabolic differences between these two flower types that may influence oviposition by wasps, and (2) gene expression of both plant and wasp at the beginning of gall development. These two elements (oviposition choice and galling), which are essential to the fig and fig wasp interaction, may provide clues to the evolutionary origin and stability of this ancient and classic mutualism.	SRR957057,SRR957098,SRR957126,SRR961670
SRP100275	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G01K5-12 metagenome	 	SRR5272159
SRP015319	CF50 DNA Sequencing - Multispecies Mixed Culture	To determine the metagenome of a halorespirating mixed culture that dechlorinates chloroform.	SRR554411
SRP073604	5 bacterial species mock community genome sequencing	Sequencing a mock community consisting of T. roseus DSM 18391, C. akajimensis DSM 45221, P. stutzeri DSM 4166, P. inhibens DSM17395, and G. obscurus DSM 43160 for a comparative analysis of multiple displacement amplification performed in standard bulk reactions or in emulsions. Samples also include unamplified controls and no template negative controls.	SRR3405414,SRR3405416,SRR3405417,SRR3405418,SRR3405420,SRR3405421,SRR3405422,SRR3405423,SRR3405424,SRR3405425
SRP080289	Freshwater microbial communities from Lake Mendota, WI - 26AUG2009 deep hole epilimnion metagenome	 	SRR3986257
SRP104992	Marine viral communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - metaG 3750_2500 metagenome	An integrated biological and chemical perspective on marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling	SRR5468911
SRP118576	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_D_Glu_20cm_5_24_1 metaG metagenome	Community metagenomic analyses of microbial carbon turnover in grassland soil profiles	SRR6059058
SRP118451	Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS S5-4 metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR6056553
SRP080486	Groundwater microbial communities from Rifle, Colorado - Rifle Oxygen_injection C3 metagenome	 	SRR3989315
SRP010807	Svalbard Archipelago station 2 sample NOR 15_50m Project	none provided	SRR405096,SRR405097
SRP049252	Deep igneous marine biosphere Metagenome	To determine the role of mineralogy and composition on the microbial ecology of the deep igneous marine biosphere, we incubated twelve igneous minerals and glasses in IODP Hole 1301A on the eastern flank of the Juan de Fuca Ridge (47Â° 45.210' N, 127Â° 45.833' W) for four years (2004 â€“ 2008) (Smith et al., 2011). Hole 1301A is a subseafloor microbial observatory equipped with a Circulation Obviation Retrofit Kit (CORK) that allowed us to suspend microbial flow cells 262 m within the basalt basement, exposing common igneous minerals and glasses to the aquifer community. Pyrotag sequencing revealed that the mineral olivine was dominated by the uncultured, and thus uncharacterized, archaeum Archaeoglobaceae OTU 5. The low complexity of the microbial community associated with olivine makes this an ideal candidate for shotgun metagenomic sequencing, with the explicit goal of reconstructing the metagenomes of members of the Archaeoglobaceae. Given that olivine is one of the most abundant minerals in oceanic crust, understanding the functional role of the uncultured Archaeoglobaceae in biogeochemical cycling in the marine subsurface is imperative and has the potential to provide transformative knowledge regarding mineral weathering on a global scale. We predict that Archaeoglobaceae OTU 5 is using either an iron-based or hydrogen-based metabolism on olivine surfaces, and it may be a major primary producer in olivine-rich crust.	SRR1628697,SRR1628698
SRP080181	Grasslands soil microbial communities from Chapel Hill, North Carolina, USA that are Nitrogen fertilized - NN357 metagenome	 	SRR3983532
ERP010773	Illumina paired-end HiSeq2000 Sequencing of the genome from Rhynchospora pubera	The present study provides through extensive analysis of NGS sequencing of genomic DNA, ChIP-seq, RNAseq and BAC sequencing, a cytogenomic characterization of the first identified centromere-specific DNA sequences from a holocentric species. NGS of genomic DNA was used to identify putative centromeric repeats, while RNAseq allowed us to identify and characterize the CENH3 gene of Rhynchospora pubera, our model species. An antibody recognizing the holocentromeres of that species was then designed. ChIP-seq was used to validate the association of the centromeric repeat candidates, a satellite DNA (Tyba) and a centromeric retrotransposon (CRRh), to the functional centromeric nucleosomes from a holocentric species. Finally, assembly of sequenced BACs containing Tyba centromeric tandem repeat was used to examine the properties of the multiple centromeric units found.	ERR921729,ERR921730,ERR921731,ERR921732,ERR921733,ERR921734,ERR921735,ERR921736,ERR921737,ERR921738,ERR921739,ERR921740,ERR921741,ERR921742,ERR921743,ERR921744,ERR921745,ERR921746,ERR921747,ERR921748,ERR921749,ERR921750,ERR921751,ERR921752,ERR921753,ERR921754,ERR921755,ERR921756,ERR921757,ERR921758,ERR921759,ERR921760
SRP100012	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBH18Jul07 metagenome	 	SRR5261041
ERP009042	Transcriptomics of two evolutionary novelties: sword and gonopodium	Swords are exaggerated male ornaments of swordtail fishes that have been of great interest to evolutionary biologists ever since Darwin described them in the Descent of Man (1871). They are a novel sexually selected trait derived from modified ventral caudal fin rays and are only found in the genus Xiphophorus. Another phylogenetically widespread and older male trait is the gonopodium, an intromittent organ found in all poeciliid fishes, that is derived from a modified anal fin. Despite many evolutionary and behavioral studies on both traits, little is known so far about the molecular mechanisms underlying their development. By investigating transcriptomic changes (utilizing a RNA-Seq approach) in response to testosterone treatment in the swordtail fish, Xiphophorus hellerii, we aimed to better understand the architecture of the gene regulatory networks underpinning the development of these two evolutionary novelties. Large numbers of genes with tissue-specific expression patterns were identified. Among the â€œsword genesâ€ those involved in embryonic organ development, sexual character development and coloration were highly expressed, while in the gonopodium rather more morphogenesis-related genes were found. Interestingly, many genes and genetic pathways are shared between both developing novel traits derived from median fins: the sword and the gonopodium. Our analyses show that a larger set of gene networks was co-opted during the development and evolution of the â€˜olderâ€™ gonopodium than in the â€˜youngerâ€™, and morphologically less complex trait, the sword. We provide a catalogue of candidate genes for future efforts to dissect the development of those sexually-selected exaggerated male traits in swordtails.	ERR705758
SRP103182	Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Inanidrilus leukodermatus Group 2 BELIZE.2 metagenome	 	SRR5420807
SRP099914	Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Sp13.BD.MM110.SD metagenome	 	SRR5260432
SRP104051	Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS S6-3 metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR5451578
SRP077393	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P20_1000 metagenome	 	SRR3723780
SRP111882	Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_13_100 metagenome	Metagenome sequencing of peatland microbial communities to study carbon cycling and trace gas flux in peatland ecosystems subject to climate change	SRR5825841
SRP080538	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G05A3-10 metagenome	 	SRR3989464
SRP104836	Estuarine microbial communities from the Columbia River estuary - Ebb tide non-ETM metaG S.709 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468212
SRP074505	sludge metagenome Raw sequence reads	explore the fate of antibiotic and metal resistance genes during two-phase anaerobic digestion process	SRR3482283,SRR3482331
SRP119360	Saline lake microbial communities from Rauer Islands, Antarctica - Metagenome Filla 3 #767 metagenome	Metagenomic analysis of microbial communities found in Antarctic aquatic environments	SRR6129546
SRP115721	Intermittent Fasting Promotes White Adipose Browning and Decreases Obesity via Shaping the Gut Microbiota	While activation of beige thermogenesis is a promising approach for treatment of obesity-associated diseases, there are currently no known pharmacological means to induce beiging in humans. Intermittent fasting is an effective and natural strategy for weight control, but the mechanism for its efficacy is poorly understood. Here, we show that an every other day fasting (EODF) regimen selectively stimulates beige fat development within white adipose tissue, and dramatically ameliorates obesity, insulin resistance and hepatic steatosis. EODF treatment results in a shift in the gut microbiota composition leading to the elevation of the fermentation products acetate and lactate, and the selective upregulation of monocarboxylate transporter 1 expression in beige cells. Microbiota-depleted mice are resistance to EODF-induced beiging, while transplantation of the microbiota from EODF-treated mice to microbiota-depleted mice activates beiging and improves metabolic homeostasis. These findings provide a new gut microbiota-driven mechanism for activating adipose tissue browning and treating metabolic diseases.	SRR6154999,SRR6155000,SRR6155001,SRR6155002,SRR6155003,SRR6155004,SRR6155005,SRR6155006,SRR6155007,SRR6155008,SRR6155009,SRR6155010,SRR6155011,SRR6155012,SRR6155013
SRP012433	Soda Lake 9KL_010_SED Project	none provided	SRR490133
SRP098174	Lichen associated microbial communities from Aargau, Switzerland - Lobaria pulmonaria Metatranscriptome - T2WN-c metatranscriptome	Metatranscriptomics of Lichen associated microbial communities from a European ash tree to study symbiosis	SRR5211031
SRP119362	Saline lake microbial communities from Rauer Islands, Antarctica - Metagenome Filla 1 #562 metagenome	Metagenomic analysis of microbial communities found in Antarctic aquatic environments	SRR6129595
SRP105005	Methane-oxidizing microbial communities from mesocosms in the Hudson Canyon - EN1E Hudson Canyon metagenome	Metagenomic sequencing of methane-oxidizing mesocosms from the Gulf of Mexico and Hudson Canyon	SRR5469033
SRP000056	Coastal bacterioplankton community isolated from Sapelo Island, Georgia	Environmental DNA was captured from subsets of a coastal bacterioplankton community that metabolize different organic compounds. Comparative analysis revealed similar taxonomic markers and protein repertoires in the compound-specific bacterioplankton metagenomes, indicating coastal bacterial communities are dominated by metabolic generalists.   Source DNA available from Dr. Xiaozhen Mou (xiaozhen@uga.edu) at the University of Georgia. Sampling of environmental DNA occurred at SIMO Dean Creek sampling site on Sapelo Island, Georgia (81.2699Â°W, 31.3929Â°N) in November 2005.    16S ribosomal RNA sequences were deposited in <a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=&db=Nucleotide&cmd=search&term=EU167151:EU167496[accn]">EU167151-EU167496 </a>and   <a href="http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=&db=Nucleotide&cmd=search&term=DQ880941:DQ881441[accn]">DQ880941-DQ881441. </a>   454 sequence data is available from the Short Read Archive (SRA): <a href="ftp://ftp.ncbi.nih.gov/pub/TraceDB/ShortRead/SRA000235  ">SRA000235. </a>	SRR000281,SRR000283,SRR000284,SRR000285,SRR000286,SRR000287,SRR000288
SRP103339	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 14_LOW5 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 14_LOW5	SRR5430105
SRP111814	Plant-associated fungal endosymbiont bacterial communities from Illinois, USA - Mortierella gamsii 1 14PY_25W - Glomeribacter phylotype 2 Resequencing metagenome	Metagenomics of early diverging terrestrial fungi and their bacterial endosymbionts	SRR5822173
ERP001477	Metagenomics of the gill chamber epibiosis of deep-sea shrimp Rimicaris                 exoculata and discovery of zetaproteobacterial epibionts	The shrimp Rimicaris exoculata flourishes on deep-sea hydrothermal                 chimneys along the Mid-Atlantic Ridge (MAR). This species harbors dense community of                 chemoautotrophic epibiotic bacteria associated with mineral oxide deposits in its                 enlarged gill chamber. We used metagenomics on specimens from the Rainbow                 hydrothermal vent site, to investigate the metabolism of the two main                 sulfur-oxidizing epibionts affiliated to the Epsilonproteobacteria and                 Gammaproteobacteria. Both epibionts had genes of the Sox pathway for sulfur                 oxidation and hydrogenases. In the epsilonproteobacterial epibiont, two distinct                 denitrification systems (Nas/Nir and Nap/Nrf) as well as a complete rTCA cycle for                 carbon dioxide fixation were found, while the gammaproteobacterial epibiont was                 found to fix carbon dioxide via the CBB cycle with RuBisCo form II. The shrimp gill                 chamber metagenome provided information on host-epibiont interactions, like on                 virulence gene homologues and genes for surface attachment. Likewise, genes were                 found that might play a role in host nutritional and detoxification processes, and                 thus are of major importance for the survival of the shrimp and its adaptation to                 the hydrothermal vent environment. Interestingly, analysis of the metagenome                 revealed sequences affiliated to the iron-oxidizing class Zetaproteobacteria, which                 would explain gill chamber iron oxyhydroxide deposits. Presence of                 Zetaproteobacteria was confirmed by fluorescence in situ hybridizations and thereby                 provided first evidence for a Zetaproteobacteria-invertebrate                 association.	ERR133679,ERR133680,ERR133681
SRP038976	Metagenome sequencing of Kuenenia stuttgartiensis TB1 enrichment culture	An anammox culture enriched from a Taiwanese wastewater treatment plant performing partial nitrification, anaerobic ammonium oxidation and denitrification was used for metagenome sequencing with an Iontorrent PGM. Contigs were binned to Kuenenia stuttgartiensis TB1 based on their coverage and the resulting draft genome was annotated using prokka.	SRR1177797
SRP109573	Marine viral communities from the Subarctic Pacific Ocean - 11_ETSP_OMZ_AT15265 metaG metagenome	Comparative viral community genome analysis in the Subarctic Pacific Ocean	SRR5694529
SRP097999	Soil and rhizosphere microbial communities from Centre INRS-Institut Armand-Frappier, Laval, Canada - Soil microcosm metaTmtHAA metatranscriptome	Metagenomic and Metatranscriptomic Analysis of Soil Biogeochemical Processes Sustained by Interspecific Transfer of Molecular Hydrogen	SRR5208441
SRP099491	Marine viral communities from the Pacific Ocean - ETNP_2_1000 metagenome	 	SRR5251698
SRP048717	6m sample from a Rifle, CO sediment metagenome	Long read Moleculo data of a 6m / 19 ft sample from terrestrial sediment  This is part of a study that investigates how short and long (multi-kb) synthetic reads evaluate strain heterogeneity and assist in the study of microorganisms at low abundance in complex microbial communities from terrestrial sediments	SRR1605797
SRP080606	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G06A4a-12 metagenome	 	SRR3989557
SRP096602	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC059_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR5168924
SRP099271	Nasutitermes corniger P3 segment microbial communities from Max Planck Institute, Germany - Nc150P3 metagenome	 	SRR5247075,SRR5247076
SRP089272	Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNTR3_MetaG metagenome	Metagenomics of anaerobic wastewater microbial communities to study anthropogenic carbon cycling	SRR4236670
SRP057981	Bathymodiolus platifrons Raw sequence reads	The sample was collected from a cold seep located at a depth of 1122 m on the continental slope of South China Sea (22.12 N; 119.29 E).	SRR2014748,SRR2014749,SRR2014750,SRR3205266
SRP052012	Marine eukaryotic metatranscriptomes	Metatranscriptome data	SRR1752116,SRR1752131
SRP001743	Luquillo tropical forest soil Metagenome	Wet, tropical forest soil taken from 0-10cm at Colorado site 4, Luquillo Experimental Forest in Puerto Rico.	SRR034257,SRR034258
SRP077403	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - August 2008 P12 2000m metagenome	 	SRR3723869
SRP060287	Oxygen-depleated ocean water microbiome	The eastern tropical North Atlantic (ETNA) is characterized by a highly productive coastal upwelling system and a moderate oxygen minimum zone with lowest open ocean oxygen (O2) concentrations of around 40 Âµmol kg-1. The recent discovery of reoccurring mesoscale eddies with exceptionally low O2 concentrations (<1 Âµmol kg-1) just below the mixed layer challenged our understanding of biogeochemical processes in this area. Here, we present the first metagenomic dataset from a deoxygenated anticyclonic modewater eddy in the open waters of the ETNA. We observed a significantly lower bacterial diversity in the eddy compared to surrounding waters, along with a marked community shift. We detected enhanced primary productivity in the surface layer of the eddy indicated by elevated chlorophyll concentrations and increased carbon uptake rates up to three times as high as in surrounding waters. Carbon uptake correlated to the presence of a specific high-light ecotype of Prochlorococcus, which is usually underrepresented in the ETNA. Our data indicate that high primary production in the eddy fuels export production and a microbial community responsible for enhanced respiration at intermediate depth. Progressively decreasing O2 concentrations in the eddy promote even denitrification in the O2-depleted core waters, a process usually absent from the open ETNA waters. This is supported by the qPCR analysis of nirS as key gene for denitrification in that area show unexpected high abundances inside the eddy, with ~3000 copies L-1 at the O2 minimum (~100 m) more than one order higher than outside the eddy (~100 copies L-1). As current studies suggest that these eddies occur more frequently than previously expected, respiration, accompanying acidification and potential fixed nitrogen loss may severely impact surrounding waters.	SRR2085701,SRR2085704,SRR2085712,SRR2085713,SRR2085714,SRR2085716,SRR2085728,SRR2085729,SRR2085730,SRR2085731,SRR2085735,SRR2085738,SRR2085742,SRR2085744,SRR2085747,SRR2085748,SRR2085749,SRR2085750,SRR3623493,SRR3623494
SRP045474	V4 of the 16S rRNA gene Targeted Locus (Loci)	By using a murine model, we show that host microbiota is altered in autoimmune lupus. We demonstrate that the abundance of gut-colonizing Lactobacilli positively correlates with improved symptoms in mice with lupus. We also show that the depletion of Lactobacilli in young, lupus-prone females can be restored by retinoic acid as a dietary intervention.	SRR576170,SRR576172,SRR576173,SRR576174,SRR576177,SRR576179,SRR576180,SRR576182,SRR576183
SRP052878	Rumen and gastrointestinal tract contents Targeted Locus (Loci)	The aim of the Global Rumen Census project is to survey the diversity of microbes present in rumen samples obtained from a range of locations and farming situations.	SRR1774324,SRR1774455,SRR1774620,SRR1774673,SRR1775583,SRR1775631,SRR1775634,SRR1775655,SRR1775660,SRR1775663,SRR1775759,SRR1776087,SRR1776102,SRR1776121
SRP104896	Estuarine microbial communities from the Columbia River estuary - metaG 1555C-3 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468382
SRP080126	Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 47 metagenome	 	SRR3975576
SRP080478	Soil microbial communities from Rifle, Colorado - Rifle CSP2_sed 13_1 metagenome	 	SRR3989307
SRP007931	Fungus-growing termite whole gut metagenome	454 pyrosequencing of a whole gut metagenome derived from a fungus-growing termite: Odonterterms yunnanensis	SRR333074,SRR333075
SRP080065	Marine microbial communities from the Deep Atlantic Ocean - MP0759 metagenome	 	SRR3965873
SRP081952	Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 hypolimnion metagenome	 	SRR4029392
SRP109566	Marine viral communities from the Subarctic Pacific Ocean - 5B_ETSP_OMZ_AT15132_CsCl metaG metagenome	Comparative viral community genome analysis in the Subarctic Pacific Ocean	SRR5693907
SRP061752	bacteria Raw sequence reads	Bacteria involved in swine health and microbial degradation of swine feces in the piggery bedding	SRR2132862,SRR2132863,SRR2132864,SRR2132865,SRR2132866,SRR2132867,SRR2132868,SRR2132869,SRR2132891,SRR2132892,SRR2132893,SRR2132894,SRR2132895,SRR2132896,SRR2132898,SRR2132899,SRR2132900,SRR2132901,SRR2132902,SRR2132903,SRR2132904,SRR2132935,SRR2132947,SRR2132948,SRR2132949,SRR2132951,SRR2132952,SRR2132953,SRR2132955,SRR2132956,SRR2132957,SRR2132958,SRR2132960,SRR2132961,SRR2132962,SRR2132963,SRR2132965,SRR2132966,SRR2132967
DRP000690	Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).	13 individual of Japanese patients with multiple sclerosis.  Microbial DNA was sequenced using a 454 GS FLX titanium (Roche).	DRR002656
SRP038018	Antarctic Hypolith Metavirome	Characterization of the metavirome of Antarctic soil communities	SRR1171026
SRP036089	Bacterial and fungal communities on grapevine leaves	Characterization of bacterial and fungal communities on leaves of grapevine plants treated with chemical and biological fungicides	SRR1153303
ERP014804	Plant root zone specific microbial community structure and activity in long-term contaminated soil	This microcosm-based study sought to elucidate how selected plants (horseradish, black nightshade and tobacco) and NPK mineral fertilization shape the structure of soil microbial communities and what the consequences are of the altered community structure on the level of functional potential in legacy polluted soil.	ERR1346484,ERR1346485,ERR1346528,ERR1346529,ERR1346530,ERR1346531,ERR1346532,ERR1346533
SRP104784	Forest soil microbial communities from USA, for metatranscriptomics studies - Jemez Pines PI 3C metatranscriptome	Metatranscriptomics of Soil Forest Ecosystems in New Mexico, USA	SRR5467463
SRP081928	Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 hypolimnion metagenome	 	SRR4029367
SRP098481	Tropical forest soil microbial communities from Panama - MetaG Plot_36 metagenome	Metagenome sequencing to predict climate feedbacks from microbial function in tropical ecosystems	SRR5215813
SRP107651	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_21-May-14 metagenome	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	SRR5580864
SRP099976	Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBE22May08 metagenome	 	SRR5260836
SRP080091	Soil microbial communities from Rifle, Colorado, USA - sediment 10ft 2 metagenome	 	SRR3969602
ERP007080	MetaG_Sol_PAH_Degrad	 	ERR635995,ERR635996,ERR635997,ERR635998,ERR635999,ERR636000,ERR636001,ERR636002,ERR636003,ERR636004
SRP109860	Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge D28_HANv2 metagenome	Raman-based microcolony genomics for studying microevolution and ecology of nitrifiers	SRR5721827
SRP039404	freshwater metagenome HEM-04 Genome sequencing project	 	SRR1182698
SRP072793	artificially reared Bar-headed goose gut metagenome Raw sequence reads	The first gut metagenome of Bar-headed goose	SRR3327343,SRR3327411
SRP106383	Marine microbial and viral communities from oxygen minimum zone, Eastern Pacific Ocean - ETNP201302PF89A metagenome	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones: Oceanic sample ETNP201302PF89A	SRR5506552
ERP011456	Diversity, host affinity and ecology of foliar endophytic microbes in Amazonian Peru	In total, 2,543 living cultures were obtained from 178 leaflets, 120 from litter bags, plus 58 taken fresh from the crown, of an individual Protium subserratum Burseraceae near Iquitos, Peru. P. subserratum is a mid-canopy tree that occurs throughout the basin, in various edaphic contexts-including nutrient-rich clay forests, as well as depauperate white sand forests known for their high endemism Fine et al. 2006. This broad geographic distribution and ecological amplitude makes characterizing the microbiome of P. subserratum an excellent starting-point in the effort to understand the diversity of symbiotrophic microbes in the lowland tropics.	ERR978494,ERR978505
SRP013975	Mosquito gut microbiota diversity study	Sequencing of PCR amplified bacterial 16S from the guts of multiple mosquito species from Eastern Kenya.	SRR516961
SRP077090	Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201406SV203	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones: Oceanic sample ETNP201406SV203	SRR3718413
SRP080331	Freshwater microbial communities from Lake Mendota, WI - 18MAY2011 deep hole epilimnion ns metagenome	 	SRR3987089
SRP098169	Deep subsurface microbial communities from Indian Ocean to uncover new lineages of life (NeLLi) - Sumatra_00607 metaG metagenome	Illuminating uncharacterized taxonomic blind spots in the tree of life through targeted metagenomic sequencing of microbial communities residing in under-sampled extreme environments.	SRR5211005
SRP044704	Minipig strain:Goettingen Metagenome	Microbiota composition of Goettingen minipigs using 454 pyroseqeuncing	SRR1522123,SRR1522124,SRR1522126,SRR1522127,SRR1522128,SRR1522129,SRR1522130,SRR1522132,SRR1522133,SRR1522134,SRR1522135,SRR1522136,SRR1522137,SRR1522138,SRR1522139,SRR1522140
SRP111786	Pelagic marine microbial communities from North Sea - COGITO_mtgs_110512 metagenome	Metagenomics of North Sea microbial communities with relevance to post-phytoplankton bloom &amp; benthic-pelagic carbon-turnover from a long-term ecological research (LTER) site Helgoland	SRR5821823
SRP102593	Soil metagenome of an asparagus field culture treated with Innovak R2	 	SRR5381897
ERP004636	Metagenome of a microbial consortium obtained from the Tuna oil field in the Gippsland Basin, Australia.	In 2011, fluid samples were collected from the A7A oil well in the Tuna oil field (38Â°10' S, 148Â°25' E) in the Gippsland Basin, Australia. Chemical analyses of the water revealed the sample was pH 7.2, had a salinity of 2.7%, and contained 270 mg literâ€“1 calcium, 320 mg literâ€“1 magnesium, 1,200 mg literâ€“1 sulfate, and 1,170 mg literâ€“1 bicarbonate. The temperature in the reservoir was 102Â°C. One liter of formation water was filtered through a 0.2-?M polyvinylidene difluoride (PVDF) filter disc and subjected to genomic DNA extraction using a Meta-G-Nome DNA isolation kit (Epicenter Biotechnologies). The resultant DNA was sequenced using 100-bp paired-end Illumina HiSeq at the University of Western Sydney.	ERR413102
SRP107786	Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. TD hybrid SBSTD1 metagenome	Defining the functional diversity of the Populus root microbiome	SRR5583252,SRR5583253,SRR5583254
SRP107797	Populus root and rhizosphere microbial communities from Tennessee, USA - Soil MetaG P. TD hybrid SBSTD2 metagenome	Defining the functional diversity of the Populus root microbiome	SRR5584097
SRP033730	Drinking water Metagenome	Raw water and treated water of drinking water treatement plant	SRR1047946,SRR1047947,SRR1047948,SRR1047949,SRR1047951,SRR1047952,SRR1047954,SRR1047955
SRP033387	Cixi.454Reads Targeted Locus (Loci)	Soil samples from a chronosequence of 0-700 years of rice cropping in the Bay of Hangzhou, China by 454 pyrosequencing	SRR1041065,SRR1041066,SRR1041067,SRR1041068,SRR1041076,SRR1041082,SRR1041088,SRR1041091,SRR1041097,SRR1041099,SRR1041100,SRR1041101,SRR1041102,SRR1041103,SRR1041104
SRP103392	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 38_LOW7 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 38_LOW7	SRR5430514
SRP061923	Molecular mechanism of bacteria-sponge symbiosis: Have bacteria acquired eukaryotic-like proteins to control their interactions with a host?	In support of research to determine if microbial symbionts that live in close association with their hosts have acquired proteins from their host over the course of evolution and if they use these eukaryotic-like proteins to facilitate the symbiotic relationship.	SRR2141974,SRR3708901,SRR3708911,SRR3708913
SRP112165	Peat soil microbial communities from Weissenstadt, Germany - Sb_50d_b_LC metaG metagenome	Targeted metagenomics of a sulfate-reducing rare biosphere member and potentially novel sulfate reducers that impact methane emission from peatlands	SRR5829546
SRP063486	activated sludge Metagenome	The present study aims to investigate the broad spectrum of bacteria communities and metabolic functions in activated sludge from a typical municipal A2O reactor based on metagenomic approach and HTS technology. The metagenome data was used to investigate the biological communities in oxic sludge, and characterize the functional profiles of the biological community.	SRR2308827,SRR2308974
SRP115955	Macaca nemestrina  Metagenome	Metagenomic analysis of stool samples from Macaca nemestrina. These samples were derived from macaques infected with SIV then provided probiotics and/or antivirals.	SRR5956318,SRR5956319,SRR5956323,SRR5956330,SRR5956332,SRR5956335,SRR5956315,SRR5956328,SRR5956329
SRP097927	Soil and rhizosphere microbial communities from Laval, Canada - mgLAB metagenome	Metagenomic and Metatranscriptomic Analysis of Soil Biogeochemical Processes Sustained by Interspecific Transfer of Molecular Hydrogen: Soil and rhizosphere sample from Laval, Canada - mgLAB	SRR5207566
SRP080194	Grasslands soil microbial communities from Kansas, USA, that are Nitrogen fertilized - NN593 metagenome	 	SRR3984669
SRP107627	Active sludge microbial communities from Klosterneuburg, Austria, studying microevolution and ecology of nitrifiers - Klosterneuburg WWTP active sludge metagenome KNB19-Kit metagenome	Raman-based microcolony genomics and transcriptomics for studying microevolution and ecology of nitrifiers	SRR5580757
SRP099337	Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-05 metagenome	 	SRR5248218
